"cell" "total_reads" "aligned_reads" "sample" "cell_id" "pct_aligned" "detection" "geo_accession" "sampleName" "sampleType" "tumorName" "cellType" "subType" "includeSample" "Run" "avgLength" "Experiment" "Sample" "BioSample" "download_path" "instrument" "runID" "fcID" "fcLane" "tile" "xtile" "ytile" "detection_rate" "b0" "b1"
"MGH26_GSM1395400" 2141457 282986 "MGH26" "MGH26_GSM1395400" 0.132146477841955 5471 "GSM1395400" "MGH26_A02" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294493" 50 "SRX549107" "SRS617087" "SAMN02796844" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294493" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1007" "2100" 0.291824978551293 -2.8813739 0.5974263
"MGH26_GSM1395401" 2872050 279391 "MGH26" "MGH26_GSM1395401" 0.0972792952768928 5134 "GSM1395401" "MGH26_A03" "SC" "MGH26" "Glioblastoma" "Pro+Cla" TRUE "SRR1294494" 50 "SRX549108" "SRS617088" "SAMN02796850" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294494" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "2230" "2191" 0.275156269150631 -2.9634413 0.58881979
"MGH26_GSM1395403" 3678419 1027176 "MGH26" "MGH26_GSM1395403" 0.279243881678515 4981 "GSM1395403" "MGH26_A05" "SC" "MGH26" "Glioblastoma" "Pro+Cla" TRUE "SRR1294496" 50 "SRX549110" "SRS617090" "SAMN02796849" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294496" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1632" "2094" 0.21687706826817 -3.8575999 0.68592902
"MGH26_GSM1395405" 3362059 1170912 "MGH26" "MGH26_GSM1395405" 0.348272293853261 5437 "GSM1395405" "MGH26_A07" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294498" 50 "SRX549112" "SRS617091" "SAMN02796852" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294498" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "2008" "2212" 0.247150386076725 -3.4206171 0.63283128
"MGH26_GSM1395406" 2668399 449758 "MGH26" "MGH26_GSM1395406" 0.168549755864846 4610 "GSM1395406" "MGH26_A08" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294499" 50 "SRX549113" "SRS617092" "SAMN02796856" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294499" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1561" "2151" 0.217183478367447 -3.2175864 0.55483141
"MGH26_GSM1395407" 3347645 1751400 "MGH26" "MGH26_GSM1395407" 0.523173753489393 5004 "GSM1395407" "MGH26_A09" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294500" 50 "SRX549114" "SRS617093" "SAMN02796857" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294500" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1388" "2246" 0.205601176614781 -3.7993161 0.60793174
"MGH26_GSM1395410" 3850803 1936030 "MGH26" "MGH26_GSM1395410" 0.502760073678139 5233 "GSM1395410" "MGH26_A12" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294503" 50 "SRX549117" "SRS617096" "SAMN02796863" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294503" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1126" "2215" 0.221902193896311 -3.7900903 0.65628316
"MGH26_GSM1395411" 1540122 222087 "MGH26" "MGH26_GSM1395411" 0.14420091395357 5287 "GSM1395411" "MGH26_B01" "SC" "MGH26" "Glioblastoma" "Pro+Cla" TRUE "SRR1294504" 50 "SRX549118" "SRS617097" "SAMN02796802" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294504" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1485" "2194" 0.28312293173183 -3.1109209 0.62815774
"MGH26_GSM1395412" 2118491 424488 "MGH26" "MGH26_GSM1395412" 0.20037281253496 4864 "GSM1395412" "MGH26_B02" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294505" 50 "SRX549119" "SRS617098" "SAMN02796805" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294505" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1164" "2157" 0.267741144748131 -3.3547291 0.64852826
"MGH26_GSM1395415" 1873337 199022 "MGH26" "MGH26_GSM1395415" 0.106239293837681 5766 "GSM1395415" "MGH26_B05" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294508" 50 "SRX549122" "SRS617101" "SAMN02796858" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294508" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "2350" "2207" 0.312844711361686 -3.0466819 0.65657439
