method classifier sim cls_err Batch_Separability
tSNE_plx_20 LDA 1 0.271186440677966 0.728813559322034
tSNE_plx_5 LDA 1 0.355932203389831 0.644067796610169
PCA LDA 1 0.11864406779661 0.88135593220339
MDS LDA 1 0.0932203389830508 0.906779661016949
ZIFA LDA 1 0.0677966101694916 0.932203389830508
VAMF LDA 1 0.372881355932203 0.627118644067797
ZINB-WAVE LDA 1 0.101694915254237 0.898305084745763
fSCLVM LDA 1 0.0847457627118644 0.915254237288136
tSNE_plx_20 QDA 1 0.245762711864407 0.754237288135593
tSNE_plx_5 QDA 1 0.389830508474576 0.610169491525424
PCA QDA 1 0.11864406779661 0.88135593220339
MDS QDA 1 0.0932203389830508 0.906779661016949
ZIFA QDA 1 0.0508474576271186 0.949152542372881
VAMF QDA 1 0.372881355932203 0.627118644067797
ZINB-WAVE QDA 1 0.110169491525424 0.889830508474576
fSCLVM QDA 1 0.0847457627118644 0.915254237288136
tSNE_plx_20 LDA 2 0.347457627118644 0.652542372881356
tSNE_plx_5 LDA 2 0.338983050847458 0.661016949152542
PCA LDA 2 0.169491525423729 0.830508474576271
MDS LDA 2 0.101694915254237 0.898305084745763
ZIFA LDA 2 0.101694915254237 0.898305084745763
VAMF LDA 2 0.415254237288136 0.584745762711864
ZINB-WAVE LDA 2 0.296610169491525 0.703389830508475
fSCLVM LDA 2 0.14406779661017 0.85593220338983
tSNE_plx_20 QDA 2 0.245762711864407 0.754237288135593
tSNE_plx_5 QDA 2 0.296610169491525 0.703389830508475
PCA QDA 2 0.186440677966102 0.813559322033898
MDS QDA 2 0.11864406779661 0.88135593220339
ZIFA QDA 2 0.110169491525424 0.889830508474576
VAMF QDA 2 0.415254237288136 0.584745762711864
ZINB-WAVE QDA 2 0.288135593220339 0.711864406779661
fSCLVM QDA 2 0.152542372881356 0.847457627118644
tSNE_plx_20 LDA 3 0.406779661016949 0.593220338983051
tSNE_plx_5 LDA 3 0.432203389830508 0.567796610169492
PCA LDA 3 0.127118644067797 0.872881355932203
MDS LDA 3 0.101694915254237 0.898305084745763
ZIFA LDA 3 0.0677966101694916 0.932203389830508
VAMF LDA 3 0.35593220338983 0.64406779661017
ZINB-WAVE LDA 3 0.101694915254237 0.898305084745763
fSCLVM LDA 3 0.440677966101695 0.559322033898305
tSNE_plx_20 QDA 3 0.338983050847458 0.661016949152542
tSNE_plx_5 QDA 3 0.389830508474576 0.610169491525424
PCA QDA 3 0.127118644067797 0.872881355932203
MDS QDA 3 0.101694915254237 0.898305084745763
ZIFA QDA 3 0.0677966101694916 0.932203389830508
VAMF QDA 3 0.322033898305085 0.677966101694915
ZINB-WAVE QDA 3 0.11864406779661 0.88135593220339
fSCLVM QDA 3 0.423728813559322 0.576271186440678
tSNE_plx_20 LDA 4 0.228813559322034 0.771186440677966
tSNE_plx_5 LDA 4 0.372881355932203 0.627118644067797
PCA LDA 4 0.0932203389830508 0.906779661016949
MDS LDA 4 0.0932203389830508 0.906779661016949
ZIFA LDA 4 0.0593220338983051 0.940677966101695
VAMF LDA 4 0.347457627118644 0.652542372881356
ZINB-WAVE LDA 4 0.059322033898305 0.940677966101695
fSCLVM LDA 4 0.398305084745763 0.601694915254237
tSNE_plx_20 QDA 4 0.228813559322034 0.771186440677966
tSNE_plx_5 QDA 4 0.330508474576271 0.669491525423729
PCA QDA 4 0.0847457627118644 0.915254237288136
MDS QDA 4 0.0932203389830508 0.906779661016949
ZIFA QDA 4 0.0593220338983051 0.940677966101695
VAMF QDA 4 0.330508474576271 0.669491525423729
ZINB-WAVE QDA 4 0.059322033898305 0.940677966101695
fSCLVM QDA 4 0.406779661016949 0.593220338983051
tSNE_plx_20 LDA 5 0.279661016949152 0.720338983050848
tSNE_plx_5 LDA 5 0.26271186440678 0.73728813559322
PCA LDA 5 0.0847457627118644 0.915254237288136
MDS LDA 5 0.0847457627118644 0.915254237288136
ZIFA LDA 5 0.0847457627118644 0.915254237288136
VAMF LDA 5 0.338983050847458 0.661016949152542
ZINB-WAVE LDA 5 0.211864406779661 0.788135593220339
fSCLVM LDA 5 0.127118644067797 0.872881355932203
tSNE_plx_20 QDA 5 0.23728813559322 0.76271186440678
tSNE_plx_5 QDA 5 0.245762711864407 0.754237288135593
PCA QDA 5 0.0847457627118644 0.915254237288136
MDS QDA 5 0.076271186440678 0.923728813559322
ZIFA QDA 5 0.0847457627118644 0.915254237288136
VAMF QDA 5 0.338983050847458 0.661016949152542
ZINB-WAVE QDA 5 0.211864406779661 0.788135593220339
fSCLVM QDA 5 0.161016949152542 0.838983050847458
tSNE_plx_20 LDA 6 0.372881355932203 0.627118644067797
tSNE_plx_5 LDA 6 0.347457627118644 0.652542372881356
PCA LDA 6 0.177966101694915 0.822033898305085
MDS LDA 6 0.0847457627118644 0.915254237288136
ZIFA LDA 6 0.0847457627118644 0.915254237288136
VAMF LDA 6 0.0932203389830508 0.906779661016949
ZINB-WAVE LDA 6 0.14406779661017 0.85593220338983
fSCLVM LDA 6 0.101694915254237 0.898305084745763
tSNE_plx_20 QDA 6 0.279661016949152 0.720338983050848
tSNE_plx_5 QDA 6 0.338983050847458 0.661016949152542
PCA QDA 6 0.169491525423729 0.830508474576271
MDS QDA 6 0.0847457627118644 0.915254237288136
ZIFA QDA 6 0.0677966101694916 0.932203389830508
VAMF QDA 6 0.0932203389830508 0.906779661016949
ZINB-WAVE QDA 6 0.14406779661017 0.85593220338983
fSCLVM QDA 6 0.11864406779661 0.88135593220339
tSNE_plx_20 LDA 7 0.364406779661017 0.635593220338983
tSNE_plx_5 LDA 7 0.372881355932203 0.627118644067797
PCA LDA 7 0.169491525423729 0.830508474576271
MDS LDA 7 0.110169491525424 0.889830508474576
ZIFA LDA 7 0.076271186440678 0.923728813559322
VAMF LDA 7 0.406779661016949 0.593220338983051
ZINB-WAVE LDA 7 0.194915254237288 0.805084745762712
fSCLVM LDA 7 0.0847457627118644 0.915254237288136
tSNE_plx_20 QDA 7 0.305084745762712 0.694915254237288
tSNE_plx_5 QDA 7 0.347457627118644 0.652542372881356
PCA QDA 7 0.203389830508475 0.796610169491525
MDS QDA 7 0.101694915254237 0.898305084745763
ZIFA QDA 7 0.076271186440678 0.923728813559322
VAMF QDA 7 0.406779661016949 0.593220338983051
ZINB-WAVE QDA 7 0.220338983050848 0.779661016949152
fSCLVM QDA 7 0.0677966101694916 0.932203389830508
tSNE_plx_20 LDA 8 0.372881355932203 0.627118644067797
tSNE_plx_5 LDA 8 0.364406779661017 0.635593220338983
PCA LDA 8 0.11864406779661 0.88135593220339
MDS LDA 8 0.11864406779661 0.88135593220339
ZIFA LDA 8 0.0932203389830508 0.906779661016949
VAMF LDA 8 0.338983050847458 0.661016949152542
ZINB-WAVE LDA 8 0.38135593220339 0.61864406779661
fSCLVM LDA 8 0.135593220338983 0.864406779661017
tSNE_plx_20 QDA 8 0.271186440677966 0.728813559322034
tSNE_plx_5 QDA 8 0.372881355932203 0.627118644067797
PCA QDA 8 0.110169491525424 0.889830508474576
MDS QDA 8 0.11864406779661 0.88135593220339
ZIFA QDA 8 0.076271186440678 0.923728813559322
VAMF QDA 8 0.305084745762712 0.694915254237288
ZINB-WAVE QDA 8 0.35593220338983 0.64406779661017
fSCLVM QDA 8 0.127118644067797 0.872881355932203
tSNE_plx_20 LDA 9 0.338983050847458 0.661016949152542
tSNE_plx_5 LDA 9 0.347457627118644 0.652542372881356
PCA LDA 9 0.11864406779661 0.88135593220339
MDS LDA 9 0.0847457627118644 0.915254237288136
ZIFA LDA 9 0.0847457627118644 0.915254237288136
VAMF LDA 9 0.440677966101695 0.559322033898305
ZINB-WAVE LDA 9 0.338983050847458 0.661016949152542
fSCLVM LDA 9 0.0508474576271187 0.949152542372881
tSNE_plx_20 QDA 9 0.338983050847458 0.661016949152542
tSNE_plx_5 QDA 9 0.330508474576271 0.669491525423729
PCA QDA 9 0.11864406779661 0.88135593220339
MDS QDA 9 0.076271186440678 0.923728813559322
ZIFA QDA 9 0.0847457627118644 0.915254237288136
VAMF QDA 9 0.38135593220339 0.61864406779661
ZINB-WAVE QDA 9 0.347457627118644 0.652542372881356
fSCLVM QDA 9 0.0508474576271187 0.949152542372881
tSNE_plx_20 LDA 10 0.220338983050848 0.779661016949152
tSNE_plx_5 LDA 10 0.245762711864407 0.754237288135593
PCA LDA 10 0.135593220338983 0.864406779661017
MDS LDA 10 0.101694915254237 0.898305084745763
ZIFA LDA 10 0.0932203389830508 0.906779661016949
VAMF LDA 10 0.347457627118644 0.652542372881356
ZINB-WAVE LDA 10 0.169491525423729 0.830508474576271
fSCLVM LDA 10 0.398305084745763 0.601694915254237
tSNE_plx_20 QDA 10 0.203389830508475 0.796610169491525
tSNE_plx_5 QDA 10 0.279661016949152 0.720338983050848
PCA QDA 10 0.135593220338983 0.864406779661017
MDS QDA 10 0.110169491525424 0.889830508474576
ZIFA QDA 10 0.0932203389830508 0.906779661016949
VAMF QDA 10 0.38135593220339 0.61864406779661
ZINB-WAVE QDA 10 0.152542372881356 0.847457627118644
fSCLVM QDA 10 0.406779661016949 0.593220338983051
