cell total_reads aligned_reads sample cell_id pct_aligned detection geo_accession sampleName sampleType tumorName cellType subType includeSample Run avgLength Experiment Sample BioSample download_path instrument runID fcID fcLane tile xtile ytile det_rate
MGH26_GSM1395400 2141457 282986 MGH26 MGH26_GSM1395400 0.132146477841955 5471 GSM1395400 MGH26_A02 SC MGH26 Glioblastoma Pro TRUE SRR1294493 50 SRX549107 SRS617087 SAMN02796844 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294493 GLPB22-B5C 556 H0PFYADXX 1 1101 1007 2100 0.207266252462494
MGH26_GSM1395401 2872050 279391 MGH26 MGH26_GSM1395401 0.0972792952768928 5134 GSM1395401 MGH26_A03 SC MGH26 Glioblastoma Pro+Cla TRUE SRR1294494 50 SRX549108 SRS617088 SAMN02796850 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294494 GLPB22-B5C 556 H0PFYADXX 1 1101 2230 2191 0.194499166540385
MGH26_GSM1395403 3678419 1027176 MGH26 MGH26_GSM1395403 0.279243881678515 4981 GSM1395403 MGH26_A05 SC MGH26 Glioblastoma Pro+Cla TRUE SRR1294496 50 SRX549110 SRS617090 SAMN02796849 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294496 GLPB22-B5C 556 H0PFYADXX 1 1101 1632 2094 0.188702833762691
MGH26_GSM1395405 3362059 1170912 MGH26 MGH26_GSM1395405 0.348272293853261 5437 GSM1395405 MGH26_A07 SC MGH26 Glioblastoma Pro TRUE SRR1294498 50 SRX549112 SRS617091 SAMN02796852 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294498 GLPB22-B5C 556 H0PFYADXX 1 1101 2008 2212 0.205978178511896
MGH26_GSM1395406 2668399 449758 MGH26 MGH26_GSM1395406 0.168549755864846 4610 GSM1395406 MGH26_A08 SC MGH26 Glioblastoma Pro TRUE SRR1294499 50 SRX549113 SRS617092 SAMN02796856 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294499 GLPB22-B5C 556 H0PFYADXX 1 1101 1561 2151 0.174647673889983
MGH26_GSM1395407 3347645 1751400 MGH26 MGH26_GSM1395407 0.523173753489393 5004 GSM1395407 MGH26_A09 SC MGH26 Glioblastoma Pro TRUE SRR1294500 50 SRX549114 SRS617093 SAMN02796857 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294500 GLPB22-B5C 556 H0PFYADXX 1 1101 1388 2246 0.189574177905743
MGH26_GSM1395410 3850803 1936030 MGH26 MGH26_GSM1395410 0.502760073678139 5233 GSM1395410 MGH26_A12 SC MGH26 Glioblastoma Pro TRUE SRR1294503 50 SRX549117 SRS617096 SAMN02796863 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294503 GLPB22-B5C 556 H0PFYADXX 1 1101 1126 2215 0.198249734808304
MGH26_GSM1395411 1540122 222087 MGH26 MGH26_GSM1395411 0.14420091395357 5287 GSM1395411 MGH26_B01 SC MGH26 Glioblastoma Pro+Cla TRUE SRR1294504 50 SRX549118 SRS617097 SAMN02796802 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294504 GLPB22-B5C 556 H0PFYADXX 1 1101 1485 2194 0.200295499318078
MGH26_GSM1395412 2118491 424488 MGH26 MGH26_GSM1395412 0.20037281253496 4864 GSM1395412 MGH26_B02 SC MGH26 Glioblastoma Pro TRUE SRR1294505 50 SRX549119 SRS617098 SAMN02796805 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294505 GLPB22-B5C 556 H0PFYADXX 1 1101 1164 2157 0.184270343991514
MGH26_GSM1395415 1873337 199022 MGH26 MGH26_GSM1395415 0.106239293837681 5766 GSM1395415 MGH26_B05 SC MGH26 Glioblastoma Pro TRUE SRR1294508 50 SRX549122 SRS617101 SAMN02796858 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294508 GLPB22-B5C 556 H0PFYADXX 1 1101 2350 2207 0.218442188210335
MGH26_GSM1395416 2023212 885889 MGH26 MGH26_GSM1395416 0.43786266589957 4223 GSM1395416 MGH26_B06 SC MGH26 Glioblastoma None TRUE SRR1294509 50 SRX549123 SRS617102 SAMN02796860 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294509 GLPB22-B5C 556 H0PFYADXX 1 1101 2232 2098 0.159986361569935
MGH26_GSM1395420 1954556 811550 MGH26 MGH26_GSM1395420 0.41520938770749 5144 GSM1395420 MGH26_B10 SC MGH26 Glioblastoma None TRUE SRR1294513 50 SRX549127 SRS617106 SAMN02796807 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294513 GLPB22-B5C 556 H0PFYADXX 1 1101 1329 2142 0.194878011819973
MGH26_GSM1395422 2889211 725438 MGH26 MGH26_GSM1395422 0.251085157851053 4615 GSM1395422 MGH26_B12 SC MGH26 Glioblastoma Pro TRUE SRR1294515 50 SRX549129 SRS617108 SAMN02796812 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294515 GLPB22-B5C 556 H0PFYADXX 1 1101 1612 2203 0.174837096529777
MGH26_GSM1395423 2499583 849504 MGH26 MGH26_GSM1395423 0.339858288362499 5046 GSM1395423 MGH26_C01 SC MGH26 Glioblastoma Neu+Cla TRUE SRR1294516 50 SRX549130 SRS617109 SAMN02796817 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294516 GLPB22-B5C 556 H0PFYADXX 1 1101 1727 2144 0.191165328080012
MGH26_GSM1395425 2482957 1042527 MGH26 MGH26_GSM1395425 0.419873159301591 5091 GSM1395425 MGH26_C03 SC MGH26 Glioblastoma Pro+Cla TRUE SRR1294518 50 SRX549132 SRS617111 SAMN02796813 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294518 GLPB22-B5C 556 H0PFYADXX 1 1101 1481 2164 0.192870131838157
MGH26_GSM1395427 1804622 292329 MGH26 MGH26_GSM1395427 0.161989048121989 4187 GSM1395427 MGH26_C05 SC MGH26 Glioblastoma Pro+Neu TRUE SRR1294520 50 SRX549134 SRS617114 SAMN02796815 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294520 GLPB22-B5C 556 H0PFYADXX 1 1101 1145 2230 0.158622518563419
MGH26_GSM1395434 1780262 223493 MGH26 MGH26_GSM1395434 0.125539386899232 5122 GSM1395434 MGH26_C12 SC MGH26 Glioblastoma Pro+Cla TRUE SRR1294527 50 SRX549141 SRS617121 SAMN02796826 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294527 GLPB22-B5C 556 H0PFYADXX 1 1101 1598 2113 0.19404455220488
MGH26_GSM1395435 1052534 107628 MGH26 MGH26_GSM1395435 0.102256079138536 5092 GSM1395435 MGH26_D01 SC MGH26 Glioblastoma Pro+Cla TRUE SRR1294528 50 SRX549142 SRS617122 SAMN02796829 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294528 GLPB22-B5C 556 H0PFYADXX 1 1101 1939 2139 0.192908016366116
MGH26_GSM1395437 1841497 498894 MGH26 MGH26_GSM1395437 0.270917628429479 4593 GSM1395437 MGH26_D03 SC MGH26 Glioblastoma Pro TRUE SRR1294530 50 SRX549144 SRS617124 SAMN02796828 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294530 GLPB22-B5C 556 H0PFYADXX 1 1101 1726 2189 0.174003636914684
MGH26_GSM1395440 596364 39355 MGH26 MGH26_GSM1395440 0.0659915756148929 5083 GSM1395440 MGH26_D06 SC MGH26 Glioblastoma Neu TRUE SRR1294533 50 SRX549147 SRS617126 SAMN02796830 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294533 GLPB22-B5C 556 H0PFYADXX 1 1101 3215 2168 0.192567055614487
MGH26_GSM1395441 948098 48743 MGH26 MGH26_GSM1395441 0.0514113519910389 5721 GSM1395441 MGH26_D07 SC MGH26 Glioblastoma Cla TRUE SRR1294534 50 SRX549148 SRS617128 SAMN02796832 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294534 GLPB22-B5C 556 H0PFYADXX 1 1101 1437 2222 0.21673738445219
MGH26_GSM1395442 609891 34725 MGH26 MGH26_GSM1395442 0.056936403390114 4888 GSM1395442 MGH26_D08 SC MGH26 Glioblastoma None TRUE SRR1294535 50 SRX549149 SRS617129 SAMN02796824 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294535 GLPB22-B5C 556 H0PFYADXX 1 1101 3478 2232 0.185179572662525
MGH26_GSM1395444 1993863 955295 MGH26 MGH26_GSM1395444 0.479117672578307 4222 GSM1395444 MGH26_D10 SC MGH26 Glioblastoma None TRUE SRR1294537 50 SRX549151 SRS616904 SAMN02796714 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294537 GLPB22-B5C 556 H0PFYADXX 1 1101 1006 2118 0.159948477041976
