method Cluster_ID Batch dim1 dim2
Truth 1 high_detection -2.98245880985877 2.17396350948461
Truth 1 low_detection -3.258213782399 3.05246185541914
Truth 1 high_detection -0.180672631032514 1.82505615604417
Truth 1 low_detection -2.04049521980385 2.71435945904343
Truth 1 high_detection -1.39461633302073 2.8107692173136
Truth 1 low_detection -2.9029282734063 3.6739662875627
Truth 1 high_detection -3.06893491784405 3.11878985562597
Truth 1 low_detection -1.79391671757039 2.38726568524579
Truth 1 high_detection -2.20990937418443 3.41702828951271
Truth 1 low_detection -1.01612192839444 2.27674063537274
Truth 1 high_detection -1.34974471873863 3.02644809887364
Truth 1 low_detection -2.22552883818354 1.70515556458494
Truth 1 high_detection -3.07790100286117 3.92775554468304
Truth 1 low_detection -1.10309735342297 1.03318030583653
Truth 1 high_detection -3.24905771616478 2.2633166213971
Truth 1 low_detection -1.44881330307704 2.3066620350025
Truth 1 high_detection -2.66538087062571 1.65024525966614
Truth 1 low_detection -3.62980912049522 2.5584654978495
Truth 1 high_detection -3.67372246423572 1.68232964412404
Truth 1 low_detection -2.07213676814958 0.449692184360369
Truth 1 high_detection -2.24019789216052 2.33624433405858
Truth 1 low_detection -1.08882695634332 3.20852210415638
Truth 1 high_detection -1.85864244591836 2.23201945381838
Truth 1 low_detection -2.61245750915245 1.03607824012898
Truth 1 high_detection -2.92260433113856 3.24443582287532
Truth 1 low_detection -2.88683529121568 1.0896098189948
Truth 1 high_detection -1.81220167391798 2.96706760601525
Truth 1 low_detection -2.648902488663 2.38067989230575
Truth 1 high_detection -2.4423502515175 2.96723896176551
Truth 1 low_detection -2.42517663507762 2.99813556443591
Truth 1 high_detection -4.00989743811878 3.3949372005404
Truth 1 low_detection -4.11993700793992 2.77915199641374
Truth 1 high_detection -3.6531581669848 3.50786575031424
Truth 1 low_detection -2.42239640455135 0.426893509426212
Truth 1 high_detection -0.681065499202029 3.68985338378285
Truth 1 low_detection -1.46255541726393 1.77562578163003
Truth 1 high_detection -2.80249224564373 2.66798377234888
Truth 1 low_detection -1.22205383275361 3.42033515858084
Truth 1 high_detection -2.63833904758497 0.828395187977081
Truth 1 low_detection -2.44901587623894 2.94846906961431
Truth 2 high_detection 3.16160526592039 4.35214757493023
Truth 2 low_detection 3.27241768626746 3.61167526953782
Truth 2 high_detection 4.51847346685033 1.98862467823416
Truth 2 low_detection 3.03358542484707 1.95611889618274
Truth 2 high_detection 2.0652716663682 0.77107271636505
Truth 2 low_detection 3.27116734225068 2.97074953895129
Truth 2 high_detection 3.25394082224234 2.50538712217178
Truth 2 low_detection 2.79935781809321 3.84804578555275
Truth 2 high_detection 0.836033573666064 3.22409671329937
Truth 2 low_detection 3.74432983614235 4.0525491646626
Truth 2 high_detection 3.28313437408331 3.82546983172223
Truth 2 low_detection 2.25516944244376 2.4657349075068
Truth 2 high_detection 2.64388716852883 2.13898660234224
Truth 2 low_detection 4.10863141694511 1.77983457769169
Truth 2 high_detection 1.54842002819809 2.7820149333675
Truth 2 low_detection 4.31913169113661 1.70947433643621
Truth 2 high_detection 0.716328294869123 2.05509544927132
Truth 2 low_detection 0.612860639652452 3.8649931693787
