replicate scenario method cls_err L svmult
1 G500 ZIFA 0.4 2 NA
2 G500 ZIFA 0.31875 2 NA
3 G500 ZIFA 0.44375 2 NA
4 G500 ZIFA 0.48125 2 NA
5 G500 ZIFA 0.2375 2 NA
6 G500 ZIFA 0.4 2 NA
7 G500 ZIFA 0.50625 2 NA
8 G500 ZIFA 0.41875 2 NA
9 G500 ZIFA 0.34375 2 NA
10 G500 ZIFA 0.46875 2 NA
1 G1000 ZIFA 0.4 2 NA
2 G1000 ZIFA 0.2875 2 NA
3 G1000 ZIFA 0.43125 2 NA
4 G1000 ZIFA 0.30625 2 NA
5 G1000 ZIFA 0.20625 2 NA
6 G1000 ZIFA 0.41875 2 NA
7 G1000 ZIFA 0.28125 2 NA
8 G1000 ZIFA 0.375 2 NA
9 G1000 ZIFA 0.475 2 NA
10 G1000 ZIFA 0.4125 2 NA
1 G500 f-scLVM 0.39375 2 NA
2 G500 f-scLVM 0.0375 2 NA
3 G500 f-scLVM 0.40625 2 NA
4 G500 f-scLVM 0.425 2 NA
5 G500 f-scLVM 0.7375 2 NA
6 G500 f-scLVM 0.64375 2 NA
7 G500 f-scLVM 0.4125 2 NA
8 G500 f-scLVM 0.0375 2 NA
9 G500 f-scLVM 0.4375 2 NA
10 G500 f-scLVM 0.74375 2 NA
1 G1000 f-scLVM 0.7375 2 NA
2 G1000 f-scLVM 0.23125 2 NA
3 G1000 f-scLVM 0.44375 2 NA
4 G1000 f-scLVM 0.30625 2 NA
5 G1000 f-scLVM 0.2125 2 NA
6 G1000 f-scLVM 0.40625 2 NA
7 G1000 f-scLVM 0.04375 2 NA
8 G1000 f-scLVM 0.3875 2 NA
9 G1000 f-scLVM 0.4375 2 NA
10 G1000 f-scLVM 0.40625 2 NA
1 G500 PCA 0.21875 2 NA
2 G500 PCA 0.24375 2 NA
3 G500 PCA 0.375 2 NA
4 G500 PCA 0.425 2 NA
5 G500 PCA 0.3375 2 NA
6 G500 PCA 0.2375 2 NA
7 G500 PCA 0.35625 2 NA
