"Run","geo_accession","source_name_ch1","description","Model","instrument","runID","fcID","fcLane","hour","sampleType","control","debris","numcells","sampleName","cell_id","det_rate"
"SRR1032910","GSM1268960","Myoblast_Cell T0_CT_A","T0_CT_A01","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_A01","0h_GSM1268960",0.156446007797932
"SRR1032911","GSM1268961","Myoblast_Cell T0_CT_A","T0_CT_A02","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_A02","0h_GSM1268961",0.1616375656891
"SRR1032912","GSM1268962","Myoblast_Cell T0_CT_A","T0_CT_A03","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_A03","0h_GSM1268962",0.153670113578573
"SRR1032913","GSM1268963","Myoblast_Cell T0_CT_A","T0_CT_A04","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 2","T0_CT_A04","0h_GSM1268963",0.168058145448381
"SRR1032914","GSM1268964","Myoblast_Cell T0_CT_A","T0_CT_A05","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_A05","0h_GSM1268964",0.157018138667571
"SRR1032915","GSM1268965","Myoblast_Cell T0_CT_A","T0_CT_A06","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_A06","0h_GSM1268965",0.124343109001526
"SRR1032916","GSM1268966","Myoblast_Cell T0_CT_A","T0_CT_A07","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_A07","0h_GSM1268966",0.13714188845567
"SRR1032917","GSM1268967","Myoblast_Cell T0_CT_A","T0_CT_A08","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_A08","0h_GSM1268967",0.13659094761824
"SRR1032918","GSM1268968","Myoblast_Cell T0_CT_A","T0_CT_A09","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_A09","0h_GSM1268968",0.157823359891507
"SRR1032919","GSM1268969","Myoblast_Cell T0_CT_A","T0_CT_A10","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_A10","0h_GSM1268969",0.125868791320563
"SRR1032920","GSM1268970","Myoblast_Cell T0_CT_A","T0_CT_A11","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_A11","0h_GSM1268970",0.0291998643837939
"SRR1032921","GSM1268971","Myoblast_Cell T0_CT_A","T0_CT_A12","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_A12","0h_GSM1268971",0.120465333107306
"SRR1032922","GSM1268972","Myoblast_Cell T0_CT_B","T0_CT_B01","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_B01","0h_GSM1268972",0.107348703170029
"SRR1032923","GSM1268973","Myoblast_Cell T0_CT_B","T0_CT_B02","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: TRUE","debris: FALSE","cells in well: ~250","T0_CT_B02","0h_GSM1268973",0.197300389896593
"SRR1032924","GSM1268974","Myoblast_Cell T0_CT_B","T0_CT_B03","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_B03","0h_GSM1268974",0.133560773012375
"SRR1032925","GSM1268975","Myoblast_Cell T0_CT_B","T0_CT_B04","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 0","T0_CT_B04","0h_GSM1268975",0.0110611968130192
"SRR1032926","GSM1268976","Myoblast_Cell T0_CT_B","T0_CT_B05","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_B05","0h_GSM1268976",0.139472791998644
"SRR1032927","GSM1268977","Myoblast_Cell T0_CT_B","T0_CT_B06","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_B06","0h_GSM1268977",0.131929140532294
"SRR1032928","GSM1268978","Myoblast_Cell T0_CT_B","T0_CT_B07","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_B07","0h_GSM1268978",0.129810137311409
"SRR1032929","GSM1268979","Myoblast_Cell T0_CT_B","T0_CT_B08","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_B08","0h_GSM1268979",0.140129682997118
"SRR1032930","GSM1268980","Myoblast_Cell T0_CT_B","T0_CT_B09","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_B09","0h_GSM1268980",0.144770300050856
"SRR1032931","GSM1268981","Myoblast_Cell T0_CT_B","T0_CT_B10","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_B10","0h_GSM1268981",0.00786150194948296
"SRR1032932","GSM1268982","Myoblast_Cell T0_CT_B","T0_CT_B11","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 0","T0_CT_B11","0h_GSM1268982",0.0784666892693677
"SRR1032933","GSM1268983","Myoblast_Cell T0_CT_B","T0_CT_B12","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_B12","0h_GSM1268983",0.140383963383624
"SRR1032934","GSM1268984","Myoblast_Cell T0_CT_C","T0_CT_C01","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: TRUE","debris: FALSE","cells in well: ~250","T0_CT_C01","0h_GSM1268984",0.11487116460417
"SRR1032935","GSM1268985","Myoblast_Cell T0_CT_C","T0_CT_C02","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_C02","0h_GSM1268985",0.13788353958298
"SRR1032936","GSM1268986","Myoblast_Cell T0_CT_C","T0_CT_C03","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_C03","0h_GSM1268986",0.132077470757756
"SRR1032937","GSM1268987","Myoblast_Cell T0_CT_C","T0_CT_C04","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_C04","0h_GSM1268987",0.0140066112900492
"SRR1032938","GSM1268988","Myoblast_Cell T0_CT_C","T0_CT_C05","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_C05","0h_GSM1268988",0.118812510595016
"SRR1032939","GSM1268989","Myoblast_Cell T0_CT_C","T0_CT_C06","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_C06","0h_GSM1268989",0.116863027631802
"SRR1032940","GSM1268990","Myoblast_Cell T0_CT_C","T0_CT_C07","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_C07","0h_GSM1268990",0.114913544668588
"SRR1032941","GSM1268991","Myoblast_Cell T0_CT_C","T0_CT_C08","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_C08","0h_GSM1268991",0.138264960162739
"SRR1032942","GSM1268992","Myoblast_Cell T0_CT_C","T0_CT_C09","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_C09","0h_GSM1268992",0.0654136294287167
"SRR1032943","GSM1268993","Myoblast_Cell T0_CT_C","T0_CT_C10","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_C10","0h_GSM1268993",0.00966265468723512
"SRR1032944","GSM1268994","Myoblast_Cell T0_CT_C","T0_CT_C11","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_C11","0h_GSM1268994",0.111840989998305
"SRR1032945","GSM1268995","Myoblast_Cell T0_CT_C","T0_CT_C12","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_C12","0h_GSM1268995",0.137586879132056
"SRR1032946","GSM1268996","Myoblast_Cell T0_CT_D","T0_CT_D01","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_D01","0h_GSM1268996",0.148181895236481
"SRR1032947","GSM1268997","Myoblast_Cell T0_CT_D","T0_CT_D02","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_D02","0h_GSM1268997",0.114341413798949
"SRR1032948","GSM1268998","Myoblast_Cell T0_CT_D","T0_CT_D03","Illumina HiSeq 2500","HWI-ST1233","229","H0L2PADXX","1","0h","SC","control well: FALSE","debris: FALSE","cells in well: 1","T0_CT_D03","0h_GSM1268998",0.152462281742668
