i j x
5 1 4.81013234242817
10 1 6.87449140997555
11 1 10.7216389956121
13 1 7.04969993652131
17 1 10.1203173774385
18 1 10.2662612503616
21 1 9.28140622828718
27 1 6.58020917890256
29 1 5.7473786994488
41 1 9.30226857467359
46 1 6.60398724918686
47 1 11.1619583508198
50 1 4.97168103386172
53 1 6.05021188613697
54 1 4.45563159509407
55 1 6.33690151879812
57 1 6.63060563472479
58 1 5.18882348909293
60 1 4.99471761070095
61 1 8.0463317971039
62 1 10.6147161540993
63 1 5.07239050598556
68 1 4.62020593853197
69 1 8.11985652079582
70 1 3.27679501273248
71 1 7.94815048053045
72 1 5.76541736657075
75 1 4.57117917239102
79 1 4.36936654370959
82 1 9.02503349565767
84 1 5.46753718242626
85 1 3.29686591449307
87 1 8.97896030817342
88 1 8.44256163796089
90 1 5.2151724778612
95 1 9.26972488474168
98 1 4.63093642506297
99 1 7.8502388481984
102 1 5.15933870942329
103 1 6.59446002475537
104 1 5.78277961250111
105 1 5.82737072471055
107 1 8.21171382054846
109 1 4.97192351690699
110 1 6.06198258628139
111 1 7.03298006206983
114 1 6.00851846122323
116 1 6.83235946704385
117 1 7.39462669489836
120 1 6.07483516981377
124 1 3.69375954577594
125 1 5.73815932480932
127 1 5.35871280836951
133 1 3.45264205722994
135 1 6.17804452350111
136 1 7.05187951031001
137 1 8.19578988748068
140 1 6.96548426666114
142 1 4.68490229136137
144 1 6.66693004006251
145 1 5.4016961290911
146 1 6.74675257179292
147 1 5.63428471151862
149 1 6.96213483117433
154 1 5.51449988378991
160 1 6.51317180061027
166 1 5.44017993490372
167 1 6.29578972094061
169 1 5.47638491809575
171 1 6.92560466943054
172 1 4.37963483555133
175 1 6.10115538458987
176 1 5.77003550610145
182 1 6.54284848823112
183 1 8.2343752251226
184 1 8.81058947021033
185 1 5.01430428623311
186 1 6.83699180297584
187 1 7.2145024071071
188 1 8.65973119940845
189 1 6.58627328754416
191 1 7.66271719301687
194 1 2.32299199742668
196 1 8.83493996179589
199 1 5.18294078991996
201 1 9.37610314425476
202 1 7.04604412778994
203 1 4.70227061731025
208 1 6.08145716200923
209 1 7.38563881137088
212 1 2.78290738261988
213 1 7.77967970451119
217 1 6.08444122557429
218 1 10.4778632271515
220 1 8.68501358863838
224 1 7.99879541074366
225 1 6.21788080277395
227 1 7.22431453551428
228 1 4.99002562724697
230 1 7.94597058091285
232 1 6.11217079316311
233 1 5.18376701898645
235 1 6.22239785101296
238 1 7.97513280371025
239 1 5.52224257432614
242 1 6.56282678816513
243 1 5.160029063903
245 1 8.71842383382894
248 1 4.48517026916917
251 1 7.19555558918934
252 1 7.47928260261719
259 1 8.20804025819639
260 1 5.24185998410018
261 1 9.15748944200286
262 1 2.98356310023598
263 1 4.98718859090704
266 1 7.79895656290942
272 1 6.4095937210994
273 1 6.30721296484965
275 1 4.07732936607524
283 1 4.72381606116733
285 1 6.15578534683866
286 1 8.14173984502939
289 1 5.31267251291952
291 1 7.01695441593712
293 1 7.33851452255085
298 1 4.16315363924904
299 1 2.88997819677667
301 1 6.36809222519248
302 1 6.02321540886224
303 1 3.29100645420132
306 1 6.3012046504137
308 1 6.33814023419938
310 1 3.97076332493231
311 1 7.96421505720818
313 1 5.07892850712057
314 1 5.96772248959877
315 1 6.657900532119
317 1 4.6069696118367
318 1 4.23841380121729
319 1 7.11095491109414
320 1 7.8194632461032
322 1 6.07600540297285
323 1 5.02434592587451
326 1 5.38213318784265
327 1 5.55630922601612
329 1 8.42184101646344
330 1 7.10960873495601
331 1 7.05181197481728
332 1 5.71459886672675
333 1 6.1175815233521
335 1 6.28470115315287
337 1 4.63727025609114
338 1 5.18930826683797
344 1 7.52721267694207
347 1 3.06051393105978
349 1 5.62038059564719
350 1 6.19851975669253
351 1 8.90910142979883
352 1 9.33174663073142
354 1 6.51573037539629
357 1 6.18682660411241
358 1 5.40812262507521
361 1 6.71857966803281
362 1 7.65537502255069
364 1 6.35388480606733
373 1 3.55706483257447
374 1 8.62493369885395
376 1 4.18904113561794
377 1 9.52561949456303
378 1 8.55065387720148
380 1 4.27383717372183
381 1 6.94942894648927
383 1 6.42920503452472
384 1 6.81029920908272
385 1 5.13244924088378
386 1 6.04970177855374
387 1 4.35664368738105
390 1 6.04091264189246
391 1 8.74960407967978
394 1 6.53233749060932
396 1 4.31363463037407
397 1 7.25657002811568
