i j x
4 1 4.52391463975366
7 1 5.37090487030732
11 1 2.95365815340242
12 1 4.19291778038865
13 1 9.31510863986127
16 1 7.46885380122275
17 1 7.08472381285864
18 1 7.11597544029873
19 1 5.32346613914048
23 1 4.79025019196411
24 1 6.46296403913744
25 1 5.47470030967235
26 1 6.56695284013383
29 1 6.4457526230044
31 1 4.72091443648514
33 1 8.07497540334631
35 1 9.19389770756075
36 1 8.82784643574622
37 1 6.03819566051516
38 1 5.07930372194986
39 1 3.8729907629315
40 1 9.23187179146323
43 1 8.05051339579324
44 1 10.5509254766141
45 1 10.0668055450769
47 1 4.37743545087545
48 1 4.8986720565168
49 1 8.2692116086133
50 1 8.1648496910466
51 1 4.84177160459744
53 1 6.76910723743908
58 1 10.9203328310811
59 1 6.29741765731535
60 1 4.72073119027616
62 1 7.18675347672616
65 1 7.28500795537521
67 1 6.22070450798555
68 1 8.5698334040043
72 1 5.7806718738823
73 1 5.09800344286933
76 1 4.59616717976722
77 1 7.45023073447173
82 1 7.30054882042217
83 1 7.06256637121283
85 1 5.26438898696758
90 1 5.27220325209937
91 1 7.86997150866324
92 1 3.72773953181955
93 1 4.51108930349241
94 1 6.14523220114421
95 1 8.1112228963425
99 1 5.06848730360035
100 1 5.04400649710263
101 1 3.79945730761873
104 1 8.02693220473786
106 1 4.83827418902769
107 1 4.712193618142
109 1 4.55268163398442
112 1 4.03864154848265
113 1 6.73193156131702
120 1 5.69240471735569
122 1 5.40439943783923
123 1 4.98126741907738
128 1 6.36552285632896
131 1 7.46504045793067
132 1 6.76968329106068
133 1 6.97645672408013
134 1 8.99159134273054
137 1 4.55069388090741
141 1 7.10107690154576
142 1 8.37852957114544
143 1 7.81861297998786
144 1 6.30132543862916
146 1 6.29441825933734
147 1 2.04131956345056
148 1 2.10923346450941
149 1 7.41288494214037
164 1 4.12090643228728
165 1 6.47029945259668
169 1 6.34363065391168
170 1 5.05038241279167
173 1 4.85669824495987
174 1 5.30955743586304
176 1 2.2333045601601
180 1 5.89730805022089
183 1 7.04809968969061
184 1 3.53748065301637
185 1 7.42049991316518
186 1 6.36026306151587
187 1 8.49161897581389
190 1 9.09034318318164
192 1 4.01037657300209
195 1 8.82847227900417
197 1 4.82571912500459
198 1 6.82507926129479
199 1 5.20206712147381
200 1 7.09811273587733
201 1 9.51629263637804
204 1 5.24759141079252
207 1 3.90231529106308
208 1 6.31500928713824
213 1 5.77714468654881
215 1 7.03223541590313
216 1 8.77826457366213
218 1 8.07925611476447
222 1 7.96584629805145
223 1 7.8034137242377
225 1 10.7316399642148
227 1 6.45341822271421
228 1 4.93645947834682
230 1 5.28581273760019
231 1 5.9724962967072
236 1 4.92042007404308
237 1 4.41560446964226
238 1 6.20719122332387
240 1 3.14567386700566
241 1 8.8697374641335
242 1 7.88681228846093
244 1 4.20960561960595
245 1 6.6688969110328
247 1 6.05666980462669
251 1 8.64587484168652
252 1 7.16416614337351
257 1 5.05045781414577
258 1 8.00430314494251
260 1 6.29926071122006
262 1 5.26605472170812
263 1 4.34882530507874
265 1 6.34442792454282
268 1 9.27035594857113
270 1 4.88135071715621
271 1 6.4392527038875
272 1 8.67189011478693
275 1 4.42742275860202
280 1 4.65860877892798
283 1 4.69253822926592
284 1 7.11827898106783
288 1 2.94557682459478
290 1 6.24562499135619
300 1 6.23395912289067
301 1 5.44588582097993
303 1 6.52817819408201
306 1 7.09843062542671
309 1 8.73462861727503
312 1 6.87014337238505
313 1 6.94159829749372
314 1 4.4702739164657
315 1 5.34962041281089
317 1 8.81224242999764
318 1 7.56138395865582
319 1 6.42716467263222
326 1 6.67495762348643
327 1 7.20367639308094
330 1 4.38857242787971
332 1 6.55188733931729
341 1 8.1647830693079
343 1 4.42890715040775
347 1 5.9956796288446
348 1 8.24706805845817
349 1 7.17129566989524
351 1 6.02458104866068
352 1 3.0295040614559
353 1 8.0075886749245
354 1 6.12164726912629
355 1 5.44282168773137
359 1 7.4261488874129
365 1 7.03113458669776
369 1 8.63466755268672
370 1 4.04107511823634
372 1 6.01736710032184
373 1 9.15518508122353
374 1 9.9526422592261
375 1 5.9230008936296
376 1 4.29329700124309
377 1 6.42534116818228
379 1 6.59143508711457
382 1 5.49938637692554
388 1 4.56383942919543
389 1 8.65800021912497
391 1 3.73972197245132
393 1 7.86119111688741
397 1 8.21090408237707
398 1 3.43738829848554
399 1 8.20851412201583
400 1 8.01476695649195
401 1 6.34611580743513
403 1 7.23684098550939
405 1 5.25250280293893
406 1 5.65292479086489
410 1 7.66092702479722
411 1 7.02508737250557
414 1 5.83521173672438
415 1 9.7821694694507
416 1 6.68281859202035
418 1 5.03235663945919
423 1 4.46556531006251
427 1 6.59033510150328
428 1 6.58670864341645
429 1 6.36717260565335
430 1 5.74950385178286
432 1 6.66024544111794
433 1 7.18304710320449
434 1 5.88980061120759
435 1 9.06486216224784
436 1 7.17254819101937
439 1 6.99471209213839
443 1 3.4900711575752
444 1 5.18097314844549
445 1 4.83917392135736
4 2 4.9964246402344
10 2 6.50573383416536
16 2 7.07140131760396
17 2 5.9677189094651
18 2 7.2729075945557
24 2 6.28599015880688
26 2 8.21034747491266
29 2 8.9378157350221
31 2 7.80500507175218
33 2 7.50238234708348
34 2 4.1022707357583
35 2 9.26192872041318
36 2 8.35438368929877
37 2 7.8764392368439
38 2 5.49155178301087
40 2 7.18318478610854
43 2 5.50091673204994
44 2 9.15380809355098
45 2 6.87965470118778
48 2 5.73142963174958
49 2 7.85461260883405
50 2 6.87492422155188
51 2 5.31747268948259
53 2 5.51197863053289
57 2 7.31312553996343
58 2 10.7590959368407
59 2 5.34727065231772
60 2 6.2733807158704
62 2 7.87601604827601
65 2 6.86499239271182
68 2 9.28799835597599
71 2 5.81912492861978
73 2 6.480187732692
74 2 4.31893911561405
76 2 4.46157830221664
77 2 6.83585955601226
82 2 7.27401509577479
83 2 9.79614890121165
85 2 4.99730000732997
89 2 3.68590377888135
90 2 7.58353361426174
91 2 7.51964529994001
95 2 7.4050416566377
99 2 6.29111815354527
100 2 5.75928788263143
102 2 6.71366693449005
104 2 8.50409057292251
106 2 5.1258070924408
108 2 5.18022811467805
110 2 4.31625056010183
111 2 4.73358921024886
113 2 8.45320253794895
114 2 8.20693220099643
120 2 6.06438978360902
122 2 2.97930833235248
126 2 4.84182297703221
128 2 5.06939756099808
131 2 7.24253044336914
133 2 6.33694876451129
134 2 9.48546200216343
137 2 6.19686149608612
140 2 5.40210375801693
141 2 5.65153204654218
142 2 6.37949412051322
143 2 9.8975472534373
144 2 6.38931944921326
149 2 8.19235154527953
156 2 4.42040486211329
158 2 5.7419045913332
161 2 3.44769213110639
162 2 5.03918236354154
165 2 5.80236159938234
168 2 4.26206826682315
169 2 6.628418790384
171 2 5.11490357733793
172 2 5.4012460265011
174 2 6.05928566961668
182 2 6.79684137589265
183 2 9.65063927799796
185 2 6.6269812797464
186 2 6.09318476472989
187 2 8.47481399297567
190 2 9.13265359525997
194 2 6.86043217420262
195 2 6.01343531051594
197 2 6.75831813672501
198 2 4.92269562273421
200 2 6.9077147795956
201 2 8.54436307873594
204 2 4.4626321571877
207 2 5.44026145413453
208 2 6.60776833130491
209 2 6.11696148675983
212 2 8.83024405808897
215 2 5.92653958821416
216 2 8.91793798565828
217 2 4.40074435179687
218 2 6.41753326803406
222 2 6.41407266044788
223 2 7.82546958138231
225 2 9.12243395090432
226 2 5.05395740549207
228 2 5.70918404595845
230 2 5.7189490169763
233 2 5.67362981613871
238 2 5.26433591729567
241 2 5.82585427783927
242 2 5.27622397294581
245 2 6.99824680611742
249 2 5.47979789940797
251 2 7.41802201839538
252 2 7.19117376826369
258 2 6.96097041693478
259 2 5.68070565266697
260 2 8.20056140595086
262 2 3.52635842375446
263 2 6.53765799202981
265 2 7.68728051942959
268 2 6.92340221791943
270 2 5.96865060658122
272 2 8.14687493553219
279 2 3.36759632725949
280 2 4.49244839258828
284 2 8.68714736638346
286 2 5.05404887916969
287 2 3.6501709457879
289 2 4.101690654917
290 2 5.87142458011525
294 2 4.0855054490823
298 2 4.28786772492937
300 2 6.54788289170674
301 2 6.54191726864603
304 2 5.47161592661073
306 2 7.01892587751633
307 2 4.81640793561648
308 2 5.87732496781917
309 2 6.59108153747315
312 2 6.4169779462781
313 2 7.31318365869178
314 2 6.77108142040661
316 2 6.26007033134485
317 2 7.71354662293062
318 2 7.12815364922754
319 2 4.87632854549343
326 2 7.10622448546759
327 2 5.25522600483486
328 2 5.68558873854852
330 2 5.72023811821887
331 2 8.6271015753659
332 2 6.64289289493213
334 2 4.11104077569007
335 2 6.1193208977136
340 2 5.37139394586381
341 2 6.17429106240431
342 2 5.17100113484897
344 2 3.54580925825659
346 2 5.49491710697011
347 2 5.50579858597099
348 2 8.02389730084557
349 2 8.13512891516011
353 2 8.62569946851475
354 2 7.20860082700042
358 2 3.37762213707346
359 2 7.57631979602331
361 2 6.78948918061239
363 2 2.87826606798731
365 2 6.82909346046187
367 2 4.04905114894563
369 2 8.15442853837426
370 2 6.67044856168278
372 2 5.10737288602747
373 2 8.55252707039313
374 2 8.39229450947619
376 2 4.06402723787727
377 2 8.59153604869627
378 2 3.99808994946837
379 2 4.63040460954362
381 2 4.98420272592156
382 2 6.68057488029764
388 2 4.67727527984741
389 2 8.51987838802955
390 2 3.42534568242769
393 2 7.49322185366153
397 2 8.33119173695732
399 2 6.21849173208875
400 2 7.93379292841747
402 2 4.75775990668303
403 2 7.5156841264956
405 2 6.08792553843493
406 2 6.18343251441795
407 2 4.43426096252232
410 2 7.34671328237887
411 2 8.81086199231274
413 2 5.24056366418064
414 2 5.30808448919962
415 2 9.59822000781919
416 2 5.93035736548486
421 2 3.76757305197144
425 2 4.06723708187465
426 2 5.37752425386437
427 2 6.6537984338557
428 2 5.40619839245946
432 2 6.49082335668877
434 2 3.89988651723218
435 2 9.14347427181185
436 2 7.131495275748
441 2 4.45734006555228
442 2 7.06841011521673
443 2 4.15930539341341
444 2 6.84369072333622
445 2 6.63289995050173
1 3 7.37352519036212
6 3 2.45877314341453
7 3 4.84390818126515
8 3 7.70135603464527
10 3 5.82741155506365
11 3 5.95065632432134
16 3 10.2148918489823
17 3 6.65016872586988
18 3 7.89684297466267
19 3 5.47520340441354
23 3 5.44791551778328
25 3 4.09066326662416
26 3 7.70386737367464
29 3 9.03308653670257
34 3 6.31676397125788
36 3 6.64843300547414
37 3 3.49285099033163
40 3 5.15217045328308
43 3 6.96684768410748
44 3 7.09784439732738
45 3 7.67034705857741
47 3 2.95397550372841
49 3 8.70826978493236
50 3 5.34094159871263
51 3 5.64534517619825
53 3 6.7128570676453
54 3 5.42778866321884
57 3 5.10517910836222
58 3 9.52598678876468
59 3 6.08704878021698
60 3 6.01641132848547
62 3 6.03692937921409
65 3 7.55876057186596
67 3 3.51842277790786
68 3 6.72169649965865
72 3 4.06879902201817
73 3 5.19023525842417
74 3 4.23257522165885
77 3 9.84000375066825
82 3 7.42119396161963
83 3 9.04842062957774
84 3 8.30398528253201
85 3 5.81675974372639
88 3 2.73881589639385
91 3 8.8071384057676
95 3 5.26968338795286
99 3 6.44560830389599
102 3 6.45096895985661
104 3 7.42337648207475
106 3 5.79338899882425
107 3 5.44528297687778
108 3 7.82944609087552
109 3 3.94076198083695
110 3 4.83986183840716
111 3 6.12611968212691
113 3 8.18486898913935
114 3 7.7594594587356
120 3 3.00571928771137
122 3 6.63610063270593
124 3 4.33234891235412
127 3 5.58848040940603
128 3 7.36568376514923
131 3 5.83858517210205
132 3 6.55710513446675
133 3 7.31763491875271
134 3 9.55875037377437
137 3 5.99281575995296
141 3 8.31544492854644
142 3 7.16389453350311
143 3 9.04588099505225
144 3 8.65041217725572
146 3 5.82024046290654
148 3 5.05366500463901
149 3 8.78717096835212
156 3 5.95207983943218
158 3 5.72921622017988
164 3 5.35859858111943
167 3 4.37769096769559
168 3 5.590213621411
169 3 7.50571545810543
170 3 5.61724619287096
171 3 6.05814159380612
172 3 6.19518915534855
173 3 3.0582981888804
174 3 4.56128000053917
180 3 4.63298684758029
182 3 8.70469383398531
183 3 10.4880559828357
185 3 6.72393623308049
186 3 6.31517601431127
187 3 9.6070750431168
188 3 7.51028226137174
190 3 8.0474812110458
194 3 4.29565828747062
195 3 7.13197812502794
197 3 5.79401765349971
198 3 7.94823014589117
200 3 9.00180776187138
201 3 6.93041973618978
202 3 4.52392946864397
204 3 4.91147996616601
207 3 4.75162997462704
210 3 3.46588151951787
211 3 3.73527638565505
212 3 8.40911048332776
215 3 6.81641991036334
216 3 9.43378815702236
218 3 8.21401000476201
222 3 9.30938026343869
223 3 6.01509611238915
225 3 9.16197094545452
230 3 6.59559597173521
236 3 5.43119163887146
237 3 6.94981078580179
241 3 7.85821725493297
242 3 6.0762203636973
244 3 5.44635147890371
245 3 5.78615341990501
251 3 8.24771839275773
252 3 6.24908287381383
253 3 3.91497879873133
257 3 5.32788023359594
258 3 7.20038940988495
259 3 3.21896570866425
260 3 7.92499772175908
262 3 5.26934806335129
263 3 5.71763044540007
265 3 6.45156604296853
268 3 7.36550973787485
271 3 4.60592791439981
283 3 6.57349657713319
284 3 9.23008252996425
289 3 3.6728438612814
290 3 8.31043915041197
291 3 3.37811202488735
292 3 6.46505532486473
293 3 3.96815903853682
296 3 3.33125451965873
300 3 5.3088080979766
301 3 5.25389067022605
304 3 6.94200877161038
306 3 5.97808851873055
308 3 5.26034680652895
309 3 8.36273980076721
312 3 5.1033932217983
313 3 6.25085116403399
314 3 5.27785614456083
315 3 6.06130876271307
317 3 9.00519677263985
319 3 5.54688325367644
320 3 5.4110622576092
323 3 5.91343083917249
324 3 5.42014751885986
327 3 5.31468589247942
328 3 4.73525964608907
329 3 4.92451879692046
330 3 4.94941523943769
331 3 6.36563757152416
332 3 7.10391819293775
333 3 2.46570304890064
340 3 5.63536870432662
341 3 7.76143085325489
342 3 5.30494052133941
346 3 3.8673137022723
348 3 6.65024281570617
349 3 8.5271697944393
351 3 6.83040245703252
353 3 7.22903625473634
354 3 6.88327939185936
355 3 5.97500107761344
358 3 5.06040849058189
359 3 6.7221928175506
361 3 4.61152124127067
362 3 5.33054241587887
364 3 2.06503750331972
365 3 6.58326597977944
368 3 2.91536342848436
369 3 7.74362441304404
370 3 7.4174050448573
371 3 1.48833188050628
372 3 6.52203869625835
373 3 8.8281176070011
374 3 9.06001020688331
377 3 6.71348593672915
380 3 6.17978067489639
381 3 5.16311673313045
382 3 4.91372797462574
383 3 1.83409334389999
387 3 3.00796299015119
389 3 8.77132597011341
390 3 4.88488702337935
391 3 3.95044863758312
393 3 6.68124034839758
